,country,iso3,region,income_level,n_valid_norms,score_equal_balanced,score_cost,score_sustainability,score_resilience
1,Iceland,ISL,Europe & Central Asia,High income,8,0.894390186525406,0.9213044642839512,0.8383608935324317,0.9498455109811463
2,Bhutan,BTN,South Asia,Lower middle income,8,0.8690864909444741,0.9498815314860389,0.7548773213466309,0.9576781033923693
3,Norway,NOR,Europe & Central Asia,High income,8,0.8672056800550353,0.890762566770446,0.8252600279195776,0.9124848453509817
4,Sweden,SWE,Europe & Central Asia,High income,7,0.8261824499691398,0.9809017732907813,0.725881029920959,0.895309020847951
5,Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,8,0.8260601789796448,0.9415517401802328,0.8020099790777386,0.7728817234876921
6,Luxembourg,LUX,Europe & Central Asia,High income,8,0.8061191665971529,0.758975449636959,0.7331265021665093,0.9452985812642403
7,Finland,FIN,Europe & Central Asia,High income,8,0.8045581881992129,0.8602086701587319,0.6906017180498516,0.9179678883616559
8,New Zealand,NZL,East Asia & Pacific,High income,7,0.799406503624149,0.9804027760403163,0.714173664238968,0.8483204633881187
9,Lithuania,LTU,Europe & Central Asia,High income,8,0.7977606585852928,0.7832204589177222,0.731962140185462,0.9129340171024077
10,Denmark,DNK,Europe & Central Asia,High income,8,0.7955587914849128,0.7469642928926405,0.7379455755940989,0.9208147544567478
11,Canada,CAN,North America,High income,8,0.785767954297819,0.8839083085192336,0.767246171796694,0.7522336872210433
12,Latvia,LVA,Europe & Central Asia,High income,8,0.7828450975484433,0.8003107686791374,0.7053846319241882,0.8871806334442127
13,Uruguay,URY,Latin America & Caribbean ,High income,8,0.7822726476709443,0.7936803506720591,0.6619199037096887,0.9211405678567408
14,Andorra,AND,Europe & Central Asia,High income,5,0.7742105041515915,0.8084585236584382,0.5933013826165414,0.9880236228946697
15,Monaco,MCO,Europe & Central Asia,High income,5,0.7711071917885807,0.9108287100364474,0.38209214122717844,0.9707106331315726
16,Liechtenstein,LIE,Europe & Central Asia,High income,6,0.7697645335010256,0.6999162984818358,0.5859574936325478,0.9919850685037441
17,Tajikistan,TJK,Europe & Central Asia,Lower middle income,7,0.7673471216317872,0.7889317478993575,0.8055939378923458,0.7525927009731457
18,Estonia,EST,Europe & Central Asia,High income,8,0.7671777652609035,0.801319285086662,0.656484544525805,0.9015060329754121
19,Switzerland,CHE,Europe & Central Asia,High income,8,0.7648239691897163,0.6852866685735899,0.6965262916183466,0.9335603499826586
20,Austria,AUT,Europe & Central Asia,High income,8,0.7610562743900078,0.6628896426265403,0.7395903237358235,0.8892238663171794
21,Albania,ALB,Europe & Central Asia,Upper middle income,8,0.759072891557852,0.7927412974145777,0.7151897004355082,0.794885674625357
22,Ireland,IRL,Europe & Central Asia,High income,7,0.7584418116186817,0.9573785993995815,0.6022229481498975,0.8911548703098816
23,Georgia,GEO,Europe & Central Asia,Upper middle income,8,0.7580473650979352,0.8392766465171821,0.7034657526617779,0.7788537736855168
24,United Kingdom,GBR,Europe & Central Asia,High income,7,0.7508622147193142,0.980600403126659,0.6171792146441955,0.8323400556165339
25,Portugal,PRT,Europe & Central Asia,High income,8,0.7474649725156329,0.7671768204663512,0.6467426749152847,0.8704259948756505
26,Croatia,HRV,Europe & Central Asia,High income,8,0.7413101846235142,0.7583775265902553,0.6362215324698863,0.8676645394645283
27,Chile,CHL,Latin America & Caribbean ,High income,8,0.7287130691092569,0.8153199993282174,0.6823656083564804,0.7423618002713364
28,Slovenia,SVN,Europe & Central Asia,High income,8,0.7242619245144348,0.7645242957412679,0.5698011324058133,0.9009055428958319
29,Netherlands,NLD,Europe & Central Asia,High income,8,0.7233321337373336,0.7527240272248138,0.6044376024998361,0.8668525807527971
30,Nepal,NPL,South Asia,Lower middle income,8,0.7218923400574828,0.7655210086026077,0.6995781976742953,0.746859040326344
31,Mongolia,MNG,East Asia & Pacific,Upper middle income,7,0.7192151983710373,0.9009686175515038,0.551406258372873,0.873130083798882
32,North Macedonia,MKD,Europe & Central Asia,Upper middle income,7,0.7189600913298637,0.90508464049163,0.5467442267483713,0.8561243297399942
33,Paraguay,PRY,Latin America & Caribbean ,Upper middle income,8,0.7171097686070635,0.7232412153487506,0.5817101017694114,0.8162921375269914
34,Ukraine,UKR,Europe & Central Asia,Upper middle income,7,0.7150451161754944,0.7840220530238108,0.6440155606539264,0.7375884267740322
35,Montenegro,MNE,Europe & Central Asia,Upper middle income,6,0.708985254979778,0.9188864521442565,0.5359757970752009,0.8112204815981789
36,Germany,DEU,Europe & Central Asia,High income,8,0.7055660478730115,0.6712194153925006,0.6335270697643327,0.8466679853100431
